player_name;points;id_position;id_club;has_played;id_player;scout_fc;scout_fs;scout_pi;scout_ff;scout_a;scout_ds;scout_de;scout_gs;scout_fd;scout_sg;scout_ca;scout_ft;scout_g;scout_pc;scout_ps;scout_pp;scout_i;scout_dp;scout_gc;scout_cv;round;year
Robson Bambu;0.9;3;267;True;101579;1.0;2.0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Hugo Moura;4.3;4;293;True;101594;1.0;2.0;0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Philippe Costa;0.0;5;290;True;101684;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Felipe Jonatan;2.4;2;277;True;101708;0.0;0.0;0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Alerrandro;0.2;5;280;True;101715;1.0;1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Matheusinho;0.0;4;290;True;101725;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Brítez;5.4;3;356;True;101995;3.0;3.0;0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Caio Paulista;3.9;2;276;True;102318;1.0;2.0;0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Helinho;0.0;5;280;True;102598;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Zé Ricardo;0.8;4;290;True;102911;3.0;1.0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Laquintana;3.4;5;280;True;103014;2.0;1.0;0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1;2023
Matheus Alexandre;1.2;2;1371;True;103347;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Emmanuel Martínez;0.5;4;327;True;103388;4.0;1.0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Rafael Bilu;0.0;5;283;True;103576;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Marcos Paulo;3.4;5;276;True;103645;0.0;2.0;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Jadsom Silva;-0.4;4;280;True;103695;2.0;1.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1;2023
Bruno Méndez;-0.6;3;264;True;103700;2.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Gabriel Menino;1.3;4;275;True;103767;0.0;1.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Igor Gomes;2.9;3;285;True;104385;0.0;1.0;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Vitor Mendes;4.9;3;266;True;104401;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Reinaldo;1.7;5;293;True;104420;1.0;0.0;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Christian;9.7;4;293;True;104502;4.0;1.0;0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Darlan;0.2;4;284;True;104593;0.0;0.0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Moisés;10.4;5;356;True;104666;0.0;0.0;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Juan Vojvoda;4.24;6;356;True;104754;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Acevedo;0.5;4;265;True;104783;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Luis Henrique;3.2;5;263;True;105049;0.0;0.0;0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Bento;7.0;1;293;True;105208;0.0;0.0;0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
